TimeStamp,UnixTime,QuestionKey,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant
2023-03-28 17:03:16.773,1680003196.773,,0.5585973,-0.10042499,0.47577524,1.8552603,0.50948554,-0.13581626,-0.22242399,0.37628347,1.0695729,-0.09578139,0.16498706,1.2178344,0.54030496,-0.46920484,0.16199751,1.2943034,-0.041819375,-0.93932545,-0.10097682,1.2915044,845.34796,852.1978,852.1978,1209.1941,824.3956,-0.05902099609375,0.15167236328125,0.9981689453125,-0.710296630859375,2.579498291015625,4.42626953125,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:16.776,1680003196.776,,0.5585973,-0.10042499,0.47577524,1.8552603,0.50948554,-0.13581626,-0.22242399,0.37628347,1.0695729,-0.09578139,0.16498706,1.2178344,0.54030496,-0.46920484,0.16199751,1.2943034,-0.041819375,-0.93932545,-0.10097682,1.2915044,851.39197,850.18317,854.21246,1202.3444,850.989,-0.05902099609375,0.15167236328125,0.9981689453125,-0.710296630859375,2.579498291015625,4.42626953125,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:16.778,1680003196.778,,0.5585973,-0.10042499,0.47577524,1.8552603,0.50948554,-0.13581626,-0.22242399,0.37628347,1.0695729,-0.09578139,0.16498706,1.2178344,0.54030496,-0.46920484,0.16199751,1.2943034,-0.041819375,-0.93932545,-0.10097682,1.2915044,843.73627,848.5714,857.4359,1163.2601,857.8388,-0.05902099609375,0.15167236328125,0.9981689453125,-0.710296630859375,2.579498291015625,4.42626953125,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:16.798,1680003196.798,,0.5585973,-0.10042499,0.47577524,1.8552603,0.50948554,-0.13581626,-0.22242399,0.37628347,1.0695729,-0.09578139,0.056793645,1.2178344,0.54030496,-0.46920484,0.16199751,1.2943034,-0.041819375,-0.93932545,-0.10097682,1.2915044,843.73627,848.5714,857.4359,1163.2601,857.8388,-0.05902099609375,0.15167236328125,0.9981689453125,-0.710296630859375,2.579498291015625,4.42626953125,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:16.801,1680003196.801,,0.5585973,-0.10042499,0.47577524,1.8552603,0.50948554,-0.13581626,-0.22242399,0.37628347,1.0695729,-0.09578139,0.056793645,1.2178344,0.5443337,-0.45713365,0.1538994,1.2943034,-0.041819375,-0.93932545,-0.10097682,1.2915044,843.73627,848.5714,857.4359,1163.2601,857.8388,-0.05902099609375,0.15167236328125,0.9981689453125,-0.710296630859375,2.579498291015625,4.42626953125,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:16.803,1680003196.803,,0.53771317,-0.18335883,0.42177776,1.8552603,0.50948554,-0.13581626,-0.22242399,0.37628347,1.0695729,-0.09578139,0.056793645,1.2178344,0.5443337,-0.45713365,0.1538994,1.2943034,-0.041819375,-0.93932545,-0.10097682,1.2915044,843.73627,848.5714,857.4359,1163.2601,857.8388,-0.05902099609375,0.15167236328125,0.9981689453125,-0.710296630859375,2.579498291015625,4.42626953125,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:16.805,1680003196.805,,0.53771317,-0.18335883,0.42177776,1.8552603,0.5161955,-0.123843625,-0.25591284,0.37628347,1.0695729,-0.09578139,0.056793645,1.2178344,0.5443337,-0.45713365,0.1538994,1.2943034,-0.041819375,-0.93932545,-0.10097682,1.2915044,843.73627,848.5714,857.4359,1163.2601,857.8388,-0.05902099609375,0.15167236328125,0.9981689453125,-0.710296630859375,2.579498291015625,4.42626953125,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:16.807,1680003196.807,,0.53771317,-0.18335883,0.42177776,1.8552603,0.5161955,-0.123843625,-0.25591284,0.37628347,1.0695729,-0.09578139,0.056793645,1.2178344,0.5443337,-0.45713365,0.1538994,1.2943034,-0.055893894,-0.95106786,-0.12006554,1.2915044,843.73627,848.5714,857.4359,1163.2601,857.8388,-0.05902099609375,0.15167236328125,0.9981689453125,-0.710296630859375,2.579498291015625,4.42626953125,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:16.783,1680003196.783,,0.53771317,-0.18335883,0.42177776,1.8552603,0.5161955,-0.123843625,-0.25591284,0.37628347,1.0695729,-0.09578139,0.056793645,1.2178344,0.5443337,-0.45713365,0.1538994,1.2943034,-0.055893894,-0.95106786,-0.12006554,1.2915044,834.87177,848.5714,857.03296,1116.9231,848.1685,-0.05902099609375,0.15167236328125,0.9981689453125,-0.710296630859375,2.579498291015625,4.42626953125,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:16.812,1680003196.812,,0.53771317,-0.18335883,0.42177776,1.8552603,0.5161955,-0.123843625,-0.25591284,0.37628347,1.0695729,-0.09578139,0.056793645,1.2178344,0.5443337,-0.45713365,0.1538994,1.2943034,-0.055893894,-0.95106786,-0.12006554,1.2915044,836.08057,847.3626,857.03296,1091.1355,848.1685,-0.05902099609375,0.15167236328125,0.9981689453125,-0.710296630859375,2.579498291015625,4.42626953125,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:16.815,1680003196.815,,0.53771317,-0.18335883,0.42177776,1.8552603,0.5161955,-0.123843625,-0.25591284,0.37628347,1.0695729,-0.09578139,0.056793645,1.2178344,0.5443337,-0.45713365,0.1538994,1.2943034,-0.055893894,-0.95106786,-0.12006554,1.2915044,845.34796,846.9597,856.63007,1101.6117,887.6557,-0.05902099609375,0.15167236328125,0.9981689453125,-0.710296630859375,2.579498291015625,4.42626953125,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:16.817,1680003196.817,,0.53771317,-0.18335883,0.42177776,1.8552603,0.5161955,-0.123843625,-0.25591284,0.37628347,1.0695729,-0.09578139,0.056793645,1.2178344,0.5443337,-0.45713365,0.1538994,1.2943034,-0.055893894,-0.95106786,-0.12006554,1.2915044,850.58606,849.3773,854.21246,1098.3883,915.4579,-0.05902099609375,0.15167236328125,0.9981689453125,-0.710296630859375,2.579498291015625,4.42626953125,1.0,1.0,1.0,1.0,2.0,92.98,,1
